id,website_path,source_file_or_url,category,exact_subject,orientation,focal_point,people_visible,rights_status,publish_approved,mapping_status,caption,alt_text
hero-orchha,/images/hero-orchha.jpg,https://wanderon-images.gumlet.io/gallery/new/2025/08/05/1754383861638--royal-cenotaphs-of-orchha-madhya-pradesh-india.jpg,destination,Orchha cenotaphs,landscape,52% 42%,false,verify,false,subject-confirmed,,Orchha cenotaphs beside the Betwa River at sunset
hero-orchha-mobile,/images/hero-orchha-mobile.jpg,Derivative of hero-orchha,destination,Orchha cenotaphs,landscape,52% 42%,false,verify,false,subject-confirmed,,Orchha cenotaphs beside the Betwa River at sunset
property-exterior,/images/property-exterior.jpg,https://rukmini-ct.flixcart.com/w_2048%2Cf_auto%2Cq_auto/ct-hotel-images/places/hotels/cms/1360/1360942/images/image_1360942_e2f4fdae-f376-4c7a-b257-f16305ecc810.jpeg,property,Hotel exterior,landscape,50% 52%,false,verify,false,subject-confirmed,,Orchha Palace exterior and landscaped gardens
property-royal-ambience,/images/property-royal-ambience.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRBxzND7bgVdWVeMT17PoYXhV1qMhftTUws6CF2HexdeA&s=10,property,Hotel entrance at sunset,landscape,50% 50%,false,verify,false,user-selected-ambience,Royal arrival ambience,Orchha Palace entrance and formal gardens glowing at sunset
property-courtyard,/images/property-courtyard.jpg,https://www.hotelscombined.co.uk/himg/42/64/d4/expedia_group-2735049-242878085-783416.jpg,property,Courtyard,landscape,50% 50%,false,verify,false,subject-confirmed,,Sandstone courtyard at Orchha Palace
property-lobby,/images/property-lobby.jpg,https://cf.bstatic.com/xdata/images/hotel/max1024x768/265699829.jpg,property,Lobby,landscape,50% 50%,false,verify,false,subject-confirmed,,Grand lobby with heritage-inspired details
standard-room,/images/standard-room.jpg,https://cf.bstatic.com/xdata/images/hotel/max1024x768/265699813.jpg?k=338bb26f14587187a66226303bfbb621c6c38a7a3cec74f0da68c733e2f204a6&o=,room,Standard Room double-bed overview,landscape,50% 50%,false,verify,false,category-matched-booking-gallery,Standard Room double-bed overview,Standard room with a double bed armchair and garden light
standard-room-angle,/images/standard-room-angle.jpg,https://cf.bstatic.com/xdata/images/hotel/max1024x768/83001930.jpg?k=62042f93e91a415c2ad0c2e31eb8ed08bd8ef4295c39d8dfd48eee0704f91029&o=,room,Standard Room reverse angle,portrait,50% 50%,false,verify,false,category-matched-booking-gallery,Standard Room reverse angle,Standard room viewed from the bed toward the television and writing desk
standard-twin,/images/standard-twin.jpg,https://cf.bstatic.com/xdata/images/hotel/max1024x768/265699823.jpg?k=5545ad334f98030dc4d1d1d0bbf17b953589674d13a1763225c23df05c9efab9&o=,room,Standard Room twin overview,landscape,50% 50%,false,verify,false,category-matched-booking-gallery,Standard Room twin overview,Standard twin room with two separate beds and a writing desk
standard-twin-service,/images/standard-twin-service.jpg,https://cf.bstatic.com/xdata/images/hotel/max1024x768/265699811.jpg?k=4fa4dfe411804f7163eff8312a0fd1a6d85a5c94520a024a143754e70a3b5219&o=,room,Standard Room twin in-room dining,landscape,50% 50%,false,verify,false,category-matched-booking-gallery,Standard Room twin in-room dining,In-room dining tray presented in front of two Standard twin beds
deluxe-room,/images/deluxe-room.jpg,https://cf.bstatic.com/xdata/images/hotel/max1024x768/83001320.jpg?k=4b4cdc3a2d66d7fde96a97d47c5d6a983c6b2e70d0cf3394f01cd94e3cef82f0&o=,room,Deluxe Room double-bed overview,landscape,50% 50%,false,verify,false,category-matched-booking-gallery,Deluxe Room double-bed overview,Spacious Deluxe room with a double bed armchair and writing table
deluxe-room-angle,/images/deluxe-room-angle.jpg,https://cf.bstatic.com/xdata/images/hotel/max1024x768/83001931.jpg?k=5b41ae919cf2d84e4c90f8921ef0dc2484de2f5ef197b6c44ef2b57d4321a1c6&o=,room,Deluxe Room reverse angle,portrait,50% 50%,false,verify,false,category-matched-booking-gallery,Deluxe Room reverse angle,Deluxe room viewed toward the television and writing desk
deluxe-room-evening,/images/deluxe-room-evening.jpg,https://cf.bstatic.com/xdata/images/hotel/max1024x768/265743486.jpg?k=da2a53c4e1d4fec4c98851d24bb5e99b4308e633727de7b5c3c4ef5b32247a4a&o=,room,Deluxe Room evening view,portrait,50% 50%,false,verify,false,category-matched-booking-gallery,Deluxe Room evening view,Deluxe double bed with warm evening lighting
deluxe-twin,/images/deluxe-twin.jpg,https://cf.bstatic.com/xdata/images/hotel/max1024x768/265701968.jpg?k=db27ca7ce337b3e8f1a2daebdab66f2780f4871eee7df32fff974ee8b5edeba0&o=,room,Deluxe Room twin overview,landscape,50% 50%,false,verify,false,category-matched-booking-gallery,Deluxe Room twin overview,Deluxe twin room with two beds and a glass writing table
deluxe-bathroom,/images/deluxe-bathroom.jpg,https://cf.bstatic.com/xdata/images/hotel/max1024x768/265701971.jpg?k=276230e06b7c5c74d2fb26bc87a25085a52132621969caff3cb1c5b254ae4287&o=,room,Deluxe bathroom,landscape,50% 50%,false,verify,false,category-matched-booking-gallery,Deluxe bathroom,Deluxe bathroom with a full bathtub and glass-enclosed walk-in shower
deluxe-bathroom-angle,/images/deluxe-bathroom-angle.jpg,https://cf.bstatic.com/xdata/images/hotel/max1024x768/83003781.jpg?k=89d9f6d52d24c8ab7c815c99682ee716438468a50f4ccaed60045806254f96bd&o=,room,Deluxe bathroom alternate angle,portrait,50% 50%,false,verify,false,category-matched-booking-gallery,Deluxe bathroom alternate angle,Deluxe bathroom bathtub and glass-enclosed shower from a second angle
presidential-suite,/images/presidential-suite.webp,https://cf.bstatic.com/xdata/images/hotel/max1024x768/156503858.jpg?k=54c768f7fe01fca05f983e87e383c6274c74166807453eac69676cfdf4e18b3a&o=,room,Presidential Suite primary bedroom,landscape,50% 50%,false,verify,false,user-confirmed-presidential-suite,Presidential Suite primary bedroom,Presidential Suite bedroom with carved timber bed and generous floor space
presidential-suite-mobile,/images/presidential-suite-mobile.webp,Mobile crop derived from presidential-suite,room,Presidential Suite primary bedroom,portrait,50% 50%,false,verify,false,user-confirmed-presidential-suite,Presidential Suite primary bedroom,Presidential Suite bedroom with carved timber bed and generous floor space
presidential-suite-exterior,/images/presidential-suite-exterior.webp,https://photos.app.goo.gl/xdmKUMRrLAdPKTfh7,room,Presidential Suite exterior,landscape,50% 54%,false,user-supplied,true,user-confirmed-presidential-suite,Presidential Suite exterior,Low-rise Presidential Suite exterior facing a private garden at Orchha Palace
presidential-bedroom-two,/images/presidential-bedroom-two.webp,https://photos.app.goo.gl/7C1ajiiK6ehXzr666,room,Presidential Suite second bedroom,landscape,50% 50%,false,user-supplied,true,user-confirmed-presidential-suite,Presidential Suite second bedroom,Presidential Suite second bedroom with a double bed timber headboard and television
suite-living,/images/suite-living.jpg,https://cf.bstatic.com/xdata/images/hotel/max1024x768/265699807.jpg?k=d5dbb5c8b05c5e96474f72f94d8bd50fad30e68c3b58ebc96e48b849333302a8&o=,room,Presidential Suite living room,landscape,50% 50%,false,verify,false,user-confirmed-presidential-suite,Presidential Suite private living room,Presidential Suite private living room with carved sofas around a coffee table
presidential-dining,/images/presidential-dining.jpg,https://cf.bstatic.com/xdata/images/hotel/max1024x768/265699801.jpg?k=1081880db6c532782f7d05e6dd48f35c2a03c919e675d351666896b87541f418&o=,room,Presidential Suite dining room,landscape,50% 50%,false,verify,false,user-confirmed-presidential-suite,Presidential Suite dining room,Presidential Suite dining room with a six-seat table and adjoining lounge
presidential-private-pool,/images/presidential-private-pool.jpg,https://cf.bstatic.com/xdata/images/hotel/max1024x768/156504437.jpg?k=9eeec988c31a4ef7faf29083688a3dc459e3e5124479bff5a544801d8664d31c&o=,room,Presidential Suite private pool,landscape,50% 50%,false,verify,false,user-confirmed-presidential-suite,Presidential Suite private pool,Private swimming pool in the Presidential Suite courtyard
presidential-jacuzzi,/images/presidential-jacuzzi.jpg,https://cf.bstatic.com/xdata/images/hotel/max1024x768/83003953.jpg?k=39c7844099fa0060fd980147e40f73139631942d99990410a50dfadfb22fa45c&o=,room,Presidential Suite master bathroom,portrait,50% 50%,false,verify,false,user-confirmed-presidential-suite,Presidential Suite master bathroom,Presidential Suite master bathroom jacuzzi prepared with flower petals
pool,/images/pool.jpg,https://mptours.in/wp-content/uploads/2024/08/Orchha-Palace-and-Convention-Centre.jpg,wellness,Swimming pool,landscape,50% 55%,false,verify,false,subject-confirmed,,Outdoor swimming pool surrounded by palace architecture
spa-salon,/images/spa-salon.webp,https://photos.app.goo.gl/TEbFmEiW2iqiaLcH6,wellness,Spa and salon,square,50% 50%,false,user-supplied,true,user-confirmed-amenity,Spa and salon,Kairali Spa and Vanity Durbar services card beside the salon interior
gym,/images/gym.webp,https://photos.app.goo.gl/WwcJZGu2dM8jWori8,wellness,Fitness room,landscape,50% 50%,false,user-supplied,true,user-confirmed-amenity,Fitness room,Hotel fitness room with treadmills an elliptical trainer free weights and exercise mats
kids-zone,/images/kids-zone.jpg,https://hblimg.mmtcdn.com/content/hubble/img/activities_images/mmt/acme/m_OrchhaPalaceConventionCentreKidsPlayArea1_l_1706_2560.jpeg,wellness,Kids Zone,landscape,50% 50%,false,verify,false,subject-confirmed,,Outdoor play area for younger guests
annajal,/images/annajal-selected.webp,https://photos.app.goo.gl/RTkTbfcnpHErjeJk9,dining,Annajal,landscape,50% 50%,false,user-supplied,true,user-confirmed-venue,Annajal dining room,Annajal dining room set for service at Orchha Palace
dragon,/images/dragon-selected.webp,https://photos.app.goo.gl/DLZGDLDD9mzQpaN4A,dining,Dragon,landscape,50% 50%,true,user-supplied,true,user-confirmed-venue,Dragon restaurant,Dragon restaurant illuminated by its signature red lanterns
madira,/images/madira-selected.webp,https://photos.app.goo.gl/qPuoFZjbbmWyQh4Z7,dining,Madira Bar,landscape,50% 50%,true,user-supplied,true,user-confirmed-venue,Madira Bar,Madira bar with its warmly lit bottle display
dining-main,/images/dining-main.webp,https://photos.app.goo.gl/9Y4jQpKkVS3btAPc6,dining,Main dining room,landscape,50% 50%,false,user-supplied,true,user-confirmed-placement,Main dining room,Formal dining room arranged for an evening meal at Orchha Palace
dining-groups,/images/dining-groups.webp,/Users/gautamyadav/Desktop/Priyamwada/EDITED DATA/PHOTOGRAPHS/BEST SET/CANDID/DECOR/DSC09324.jpg,dining,Celebration dining place setting,landscape,50% 50%,false,user-supplied,true,user-confirmed-placement,Private group dining,Decorative place setting prepared for a private group lunch
indramani,/images/indramani-bagh.jpg,https://media.easemytrip.com/media/Hotel/SHL-231123491100551/Common/Common4Wjzp6.png,venue,Indramani Bagh,landscape,50% 50%,false,verify,false,exact-venue-pending,,Outdoor event lawn at Orchha Palace; exact venue mapping is awaiting hotel confirmation
jeja,/images/jeja-bagh.jpg,Derivative of indramani,venue,Jeja Bagh,landscape,50% 50%,false,verify,false,exact-venue-pending,,Outdoor event lawn at Orchha Palace; exact venue mapping is awaiting hotel confirmation
rudra,/images/rudra-bagh.jpg,Derivative of property-courtyard,venue,Rudra Bagh,landscape,50% 50%,false,verify,false,exact-venue-pending,,Orchha Palace courtyard; exact Rudra Bagh mapping is awaiting hotel confirmation
samrat,/images/samrat-hall.jpg,https://static.wixstatic.com/media/6586d9_2fddb015f24b4de7adf818c17c4c59e0~mv2.png,venue,Samrat Hall,landscape,50% 50%,false,verify,false,exact-venue-pending,,Indoor event hall at Orchha Palace; exact venue mapping is awaiting hotel confirmation
bundela,/images/bundela-darbar.jpg,https://static.wixstatic.com/media/6586d9_a48746d83cb942a39301b52eca9a765a~mv2.png,venue,Bundela Darbar,landscape,50% 50%,false,verify,false,exact-venue-pending,,Indoor banquet setup at Orchha Palace; exact venue mapping is awaiting hotel confirmation
diwan,/images/diwan-e-khas.jpg,Derivative of samrat,venue,Diwan-e-Khas,landscape,50% 50%,false,verify,false,exact-venue-pending,,Indoor event hall at Orchha Palace; exact venue mapping is awaiting hotel confirmation
boardroom,/images/boardroom.webp,https://photos.app.goo.gl/x1V82JCSnzQJChs39,venue,Boardroom,landscape,50% 50%,false,user-supplied,true,user-confirmed-venue,Boardroom,Orchha Palace boardroom with a long conference table display and seating for fourteen guests
private-date,/images/private-date.webp,https://photos.app.goo.gl/peQMzmtRcXu9U51F6,venue,Private date-night setup,landscape,50% 50%,true,user-supplied,true,user-confirmed-placement,Private candlelit dinner,A couple sharing a private candlelit dinner on the illuminated hotel lawn
event-showcase-one,/images/event-showcase-one.webp,https://photos.app.goo.gl/9XAwrCZEfUrMAsP56,venue,Daytime wedding celebration,landscape,50% 50%,true,user-supplied,true,user-confirmed-event-carousel,Daytime wedding celebration,Colourful daytime wedding celebration staged in the Orchha Palace gardens
event-showcase-two,/images/event-showcase-two.webp,https://photos.app.goo.gl/B7vkeo32FGrWcSqY8,venue,Open-air amphitheatre,landscape,50% 50%,true,user-supplied,true,user-confirmed-event-carousel,Open-air amphitheatre,A couple walking through the pink open-air amphitheatre at Orchha Palace
event-showcase-fireworks,/images/event-showcase-fireworks.webp,/Users/gautamyadav/Desktop/Priyamwada/EDITED DATA/PHOTOGRAPHS/FIRST SET/AST05996.webp,venue,Wedding finale with fireworks,landscape,50% 46%,true,user-supplied,true,user-confirmed-event-carousel-watermark-cropped,Wedding finale with fireworks,Wedding couple on a floral stage beneath a coordinated fireworks display
private-garden-dining,/images/private-garden-dining.jpg,https://photos.app.goo.gl/9Xk2DyvsGt7emtGs8,venue,Private garden dining,portrait,50% 61%,true,verify,false,user-selected-ambience,Private dining on the lawn,Private dining table arranged on the lawn beneath a carved stone wall
wedding-showcase,/images/wedding-showcase.jpg,https://photos.app.goo.gl/deArhmocVjyRbeTC7,venue,Orchha Palace wedding showcase,landscape,50% 58%,true,verify,false,user-selected-showcase,Outdoor wedding aisle with floral installations,Grand outdoor wedding aisle with floral installations at Orchha Palace
wedding-showcase-mobile,/images/wedding-showcase-mobile.webp,Mobile crop derived from wedding-showcase,venue,Orchha Palace wedding showcase,portrait,50% 58%,true,verify,false,user-selected-showcase,Outdoor wedding aisle with floral installations,Grand outdoor wedding aisle with floral installations at Orchha Palace
orchha-fort,/images/orchha-fort.jpg,https://www.distinctdestinations.in/DistinctDestinationsBackEndImg/downloads/orchha-monuments2.jpg,destination,Orchha Fort,landscape,50% 50%,false,verify,false,subject-confirmed,,Historic fort architecture in Orchha
ram-raja,/images/ram-raja-temple.jpg,https://www.vacationindia.com/wp-content/uploads/2020/10/the-pink-and-cream-exterior-of-ram-raja-orchha.jpg,destination,Ram Raja Temple,landscape,50% 50%,false,verify,false,subject-confirmed,,Ram Raja Temple in Orchha
